phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
ship,22,1,2.28488909699e-06,6.87967241104e-09,1.16415321827e-10,5.70700674905e-12,0.00599737698868,1.48159894717,-34999.9940026,-2.51840105283
ship,23,1,2.38713909207e-06,9.6361518002e-09,2.32830643654e-10,6.24475387063e-12,0.00602249560872,1.50017358113,-34999.9939775,-2.49982641887
ship,24,1,2.50517996643e-06,1.02466945042e-08,0,6.87929951756e-12,0.00615030735266,1.51921490322,-34999.9938497,-2.48078509678
ship,25,1,2.63068959323e-06,1.09030014625e-08,0,7.59802934943e-12,0.006282045199,1.53873949264,-34999.993718,-2.46126050736
ship,26,1,2.76357059166e-06,1.16126507114e-08,0,8.41600239836e-12,0.00641783950981,1.55876426557,-34999.9935822,-2.44123573443
ship,27,1,2.90765598607e-06,1.23761265062e-08,0,9.35087407782e-12,0.00655782629129,1.57930623253,-34999.9934422,-2.42069376747
ship,28,1,3.05908498959e-06,1.32025710693e-08,2.32830643654e-10,1.04247469604e-11,0.00670214735866,1.6003820584,-34999.9932979,-2.3996179416
ship,29,1,3.22203126453e-06,1.40953650595e-08,1.16415321827e-10,1.16660087748e-11,0.00685095041405,1.62200724939,-34999.993149,-2.37799275061
ship,30,1,3.39591039941e-06,1.50615535512e-08,0,1.31087367909e-11,0.00700438894455,1.64419459013,-34999.9929956,-2.35580540987
ship,31,1,3.58205234527e-06,1.61083673703e-08,0,1.47980092643e-11,0.00716262173809,1.66695095246,-34999.9928374,-2.33304904754
ship,32,1,3.78055682831e-06,1.72376255821e-08,2.32830643654e-10,1.67914340927e-11,0.00732581152945,1.69027019241,-34999.9926742,-2.30972980759
ship,33,1,3.99210694532e-06,1.84612388778e-08,0,1.91626551086e-11,0.00749412143568,1.71411528555,-34999.9925059,-2.28588471445
ship,34,1,4.21684895117e-06,1.9775380311e-08,1.16415321827e-10,2.20067285638e-11,0.00766770471232,1.73836456351,-34999.9923323,-2.26163543649
ship,35,1,4.451543128e-06,2.11622254749e-08,0,2.54369660163e-11,0.00784666770746,1.76259601686,-34999.9921533,-2.23740398314
ship,36,1,4.6720774058e-06,2.2483989225e-08,2.32830643654e-10,2.94853772538e-11,0.00803084398461,1.78456526405,-34999.9919692,-2.21543473595
ship,37,1,5.38543950914e-07,1.49889354902e-09,3.49245965481e-10,3.25367132451e-12,0.00812364671427,1.0257946165,-34999.9918764,-2.9742053835
ship,38,1,1.75667616032e-07,3.17512430764e-10,1.16415321827e-10,8.34120350508e-13,0.00818141470444,0.736455593815,-34999.9918186,-3.26354440619
ship,39,1,1.73717812265e-07,3.15902697579e-10,0,9.60181881755e-13,0.00823993321091,0.736774926339,-34999.9917601,-3.26322507366
ship,40,1,1.75588689653e-07,3.21553573951e-10,1.16415321827e-10,1.14892424638e-12,0.00829955750835,0.739899602417,-34999.9917004,-3.26010039758
ship,41,1,1.7805851498e-07,3.27499321282e-10,1.16415321827e-10,1.42186222069e-12,0.00836038940182,0.743778693088,-34999.9916396,-3.25622130691
ship,42,1,1.78805561568e-07,3.35225685512e-10,0,1.83780156988e-12,0.00842247944709,0.747995577113,-34999.9915775,-3.25200442289
ship,43,1,1.79331644818e-07,3.42579025248e-10,1.16415321827e-10,2.54402091505e-12,0.00848586128294,0.752411238876,-34999.9915141,-3.24758876112
ship,44,1,1.82504282335e-07,3.50539774016e-10,0,3.99004614385e-12,0.00855056151152,0.75696657932,-34999.9914494,-3.24303342068
ship,45,1,1.84689606007e-07,3.58473583823e-10,1.16415321827e-10,8.59303996424e-12,0.00861660341959,0.761632595887,-34999.9913834,-3.23836740411
ship,46,1,1.87415486027e-07,3.66571114815e-10,1.16415321827e-10,1.00732131402e-10,0.00868400863916,0.766393705093,-34999.991316,-3.23360629491
