n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
242,0.9297520661157025,0.0,0.5826446280991735,0.5041322314049587,0.9752066115702479
243,0.9300411522633745,0.0,0.5843621399176955,0.5061728395061729,0.9753086419753086
244,0.930327868852459,0.0,0.5860655737704918,0.5081967213114754,0.9754098360655737
245,0.9306122448979591,0.0,0.5877551020408164,0.5102040816326531,0.9755102040816327
246,0.9308943089430894,0.0,0.5894308943089431,0.5121951219512195,0.975609756097561
247,0.9311740890688259,0.0,0.5910931174089069,0.5141700404858299,0.9757085020242915
248,0.9314516129032258,0.0,0.5887096774193549,0.5161290322580645,0.9758064516129032
249,0.9317269076305221,0.0,0.5903614457831325,0.5180722891566265,0.9759036144578314
250,0.932,0.0,0.588,0.516,0.976
251,0.9322709163346613,0.0,0.5896414342629482,0.5179282868525896,0.9760956175298805
252,0.9325396825396826,0.0,0.5912698412698413,0.5198412698412699,0.9761904761904762
253,0.932806324110672,0.0,0.5928853754940712,0.5177865612648221,0.9762845849802372
254,0.9330708661417323,0.0,0.5905511811023622,0.515748031496063,0.9763779527559056
255,0.9333333333333333,0.0,0.5882352941176471,0.5137254901960784,0.9764705882352941
256,0.93359375,0.0,0.58984375,0.51171875,0.9765625
257,0.933852140077821,0.0,0.5914396887159533,0.5136186770428015,0.9766536964980544
258,0.9341085271317829,0.0,0.5930232558139535,0.5155038759689923,0.9767441860465116
259,0.9343629343629344,0.0,0.5907335907335908,0.5135135135135135,0.9768339768339769
260,0.9346153846153846,0.0,0.5923076923076923,0.5115384615384615,0.9769230769230769
261,0.9348659003831418,0.0,0.5900383141762452,0.5095785440613027,0.9770114942528736
262,0.9351145038167938,0.0,0.5877862595419847,0.5076335877862596,0.9770992366412213
263,0.935361216730038,0.0,0.5855513307984791,0.5057034220532319,0.9771863117870723
264,0.9356060606060606,0.0,0.5833333333333334,0.5037878787878788,0.9772727272727273
265,0.9358490566037736,0.0,0.5811320754716981,0.5056603773584906,0.9773584905660377
266,0.9360902255639098,0.0,0.5827067669172933,0.5037593984962406,0.9774436090225563
267,0.9363295880149812,0.0,0.5805243445692884,0.5056179775280899,0.9775280898876404
268,0.9365671641791045,0.0,0.582089552238806,0.503731343283582,0.9776119402985075
269,0.9368029739776952,0.0,0.5799256505576208,0.5055762081784386,0.9776951672862454
270,0.9333333333333333,0.0,0.5777777777777777,0.5037037037037037,0.9740740740740741
271,0.933579335793358,0.0,0.5756457564575646,0.5018450184501845,0.974169741697417
272,0.9338235294117647,0.0,0.5735294117647058,0.5,0.9742647058823529
273,0.9340659340659341,0.0,0.575091575091575,0.4981684981684982,0.9743589743589743
274,0.9343065693430657,0.0,0.572992700729927,0.49635036496350365,0.9744525547445255
275,0.9345454545454546,0.0,0.5709090909090909,0.49818181818181817,0.9745454545454545
276,0.9347826086956522,0.0,0.5688405797101449,0.4963768115942029,0.9746376811594203
277,0.9350180505415162,0.0,0.5703971119133574,0.49458483754512633,0.9747292418772563
278,0.935251798561151,0.0,0.5719424460431655,0.49640287769784175,0.9748201438848921
279,0.9354838709677419,0.0,0.5698924731182796,0.4982078853046595,0.974910394265233
280,0.9357142857142857,0.0,0.5714285714285714,0.5,0.975
281,0.9359430604982206,0.0,0.5693950177935944,0.501779359430605,0.9750889679715302
282,0.9361702127659575,0.0,0.5673758865248227,0.5035460992907801,0.975177304964539
283,0.9363957597173145,0.0,0.568904593639576,0.5017667844522968,0.9752650176678446
284,0.9366197183098591,0.0,0.5669014084507042,0.5035211267605634,0.9753521126760564
285,0.9368421052631579,0.0,0.5684210526315789,0.5052631578947369,0.9754385964912281
286,0.9370629370629371,0.0,0.5699300699300699,0.506993006993007,0.9755244755244755
287,0.9372822299651568,0.0,0.5714285714285714,0.5087108013937283,0.975609756097561
